MGI.symbol	source	source_group
Cep68	Day2017_nearest	puberty_GWAS
Chchd3	Day2017_nearest	puberty_GWAS
Chd7	IHH/Kallmann;Fang2016_CPHD	puberty_disease;pituitary_disease
Cntn4	Day2017_nearest	puberty_GWAS
Cog4	Perry2014	puberty_GWAS
Cog6	Perry2014;Day2017_nearest	puberty_GWAS
Crtc1	Perry2014;Day2017_nearest	puberty_GWAS
Csmd1	Perry2014;Day2017_nearest	puberty_GWAS
Csnk1g1	Day2017_nearest	puberty_GWAS
Ctbp2	Perry2014;Day2017_nearest	puberty_GWAS
Ctif	Day2017_nearest	puberty_GWAS
Ctps	Day2017_nearest	puberty_GWAS
Ctsk	Day2017_nearest	puberty_GWAS
Cux2	Day2017_nearest	puberty_GWAS
Cyb5d1	Day2017_nearest;Day2017_nearest	puberty_GWAS
Cyfip2	Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Cyp19a1	Day2017_nearest	puberty_GWAS
Dag1	Day2017_nearest	puberty_GWAS
Dcakd	Day2017_nearest	puberty_GWAS
Dcstamp	Day2017_nearest	puberty_GWAS
Ddc	Day2017_nearest	puberty_GWAS
Ddn	Day2017_nearest	puberty_GWAS
Det1	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Dgkh	Day2017_nearest	puberty_GWAS
Dgkk	Day2017_nearest	puberty_GWAS
Diaph3	Day2017_nearest	puberty_GWAS
Dlg2	Day2017_nearest	puberty_GWAS
Dlgap1	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Dlgap2	Day2017_nearest	puberty_GWAS
Dlk1	Perry2014	puberty_GWAS
Dnajb12	Day2017_nearest	puberty_GWAS
Dnajc27	Day2017_nearest	puberty_GWAS
Dnajc6	Day2017_nearest	puberty_GWAS
Dnmt1	Hauser2019_PA	pituitary_disease
Dnmt3a	Hauser2019_PA	pituitary_disease
Dnmt3b	Hauser2019_PA	pituitary_disease
Dnmt3c	Hauser2019_PA	pituitary_disease
Dock3	Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Dph1	Day2017_nearest	puberty_GWAS
Dpyd	Perry2014;Day2017_nearest	puberty_GWAS
Dst	Perry2014	puberty_GWAS
Eefsec	Perry2014;Day2017_nearest	puberty_GWAS
Egr4	Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Eif3a	Day2017_nearest	puberty_GWAS
Eif4g1	Perry2014;Day2017_nearest	puberty_GWAS
Eif4g3	Day2017_nearest	puberty_GWAS
Endod1	Hollis2020_GWAS_VB_FH	puberty_GWAS
Erbb4	Day2017_nearest	puberty_GWAS
Esr1	Perry2014	puberty_GWAS
Etv5	Perry2014	puberty_GWAS
Evi5l	Perry2014;Day2017_nearest	puberty_GWAS
Exd1	Day2017_nearest	puberty_GWAS
Faim2	Day2017_nearest	puberty_GWAS
Fam118a	Hollis2020_GWAS_VB_FH	puberty_GWAS
Fam120a	Day2017_nearest	puberty_GWAS
Fam120b	Day2017_nearest	puberty_GWAS
Fam163a	Day2017_nearest	puberty_GWAS
Fam19a1	Day2017_nearest	puberty_GWAS
Fam241b	Day2017_nearest	puberty_GWAS
Fam83b	Perry2014;Day2017_nearest	puberty_GWAS
Fbxl17	Day2017_nearest	puberty_GWAS
Fbxo33	Day2017_nearest	puberty_GWAS
Fbxo4	Day2017_nearest	puberty_GWAS
Fbxo9	Day2017_nearest	puberty_GWAS
Fbxw8	Day2017_nearest	puberty_GWAS
Fgf8	IHH/Kallmann;Kurtoglu2019_hypopituitarism;Fang2016_CPHD	puberty_disease;pituitary_disease
Fgfr1	IHH/Kallmann;Kurtoglu2019_hypopituitarism;Fang2016_CPHD	puberty_disease;pituitary_disease
Fign	Day2017_nearest	puberty_GWAS
Fndc3a	Day2017_nearest	puberty_GWAS
Fndc3b	Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Foxo3	Day2017_nearest	puberty_GWAS
Foxp2	Day2017_nearest	puberty_GWAS
Frs3	Perry2014	puberty_GWAS
Fshb	Perry2014	puberty_GWAS
Fto	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Fut2	Day2017_nearest	puberty_GWAS
Fut8	Perry2014	puberty_GWAS
Gab2	Perry2014;Day2017_nearest	puberty_GWAS
Gabrg1	Day2017_nearest	puberty_GWAS
Gadd45b	Ye2015_PA_GWAS	pituitary_disease_GWAS
Gadd45g	Day2017_nearest	puberty_GWAS
Galnt10	Perry2014;Day2017_nearest	puberty_GWAS
Gas2	Day2017_nearest	puberty_GWAS
Gckr	Hollis2020_GWAS_VB_FH	puberty_GWAS
Ggt7	Day2017_nearest	puberty_GWAS
Gh	Kurtoglu2019_hypopituitarism	pituitary_disease
Ghr	Perry2014	puberty_GWAS
Ghrhr	Kurtoglu2019_hypopituitarism	pituitary_disease
Gif	Kurtoglu2019_hypopituitarism	pituitary_disease
Gli2	Kurtoglu2019_hypopituitarism;Fang2016_CPHD	pituitary_disease
Gli3	Kurtoglu2019_hypopituitarism;Fang2016_CPHD	pituitary_disease
Gm1140	Day2017_nearest	puberty_GWAS
Gm14692	Day2017_nearest	puberty_GWAS
Gm15262	Hauser2019_PA;Hauser2019_PA	pituitary_disease
Gm21981	Hollis2020_GWAS_VB_FH	puberty_GWAS
Gm28040	Day2017_nearest	puberty_GWAS
Gm45785	Day2017_nearest;Day2017_nearest	puberty_GWAS
Gm572	Hollis2020_GWAS_VB_FH	puberty_GWAS
Gm7324	Day2017_nearest	puberty_GWAS
Gnaq	Day2017_nearest	puberty_GWAS
Gnas	Hauser2019_PA	pituitary_disease
Gnpda2	Perry2014;Day2017_nearest	puberty_GWAS
Gnrh1	Day2017_nearest	puberty_GWAS
Gnrhr	IHH/Kallmann	puberty_disease
Gpn2	Day2017_nearest	puberty_GWAS
Gpr161	Fang2016_CPHD	pituitary_disease
Gpr45	Perry2014;Day2017_nearest	puberty_GWAS
Gpr83	Day2017_nearest	puberty_GWAS
Gprc5b	Perry2014;Day2017_nearest	puberty_GWAS
Gpx6	Day2017_nearest	puberty_GWAS
Grid1	Day2017_nearest	puberty_GWAS
Grk5	Day2017_nearest	puberty_GWAS
Grm1	Day2017_nearest	puberty_GWAS
Gtf2i	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
H2-Ab1	Day2017_nearest	puberty_GWAS
H2-D1	Perry2014	puberty_GWAS
H2-K1	Perry2014	puberty_GWAS
H2-Q2	Perry2014	puberty_GWAS
H2-Q7	Perry2014	puberty_GWAS
Hcrtr2	Perry2014	puberty_GWAS
Hdac11	Hauser2019_PA	pituitary_disease
Hdac2	Hauser2019_PA	pituitary_disease
Hdgfl1	Day2017_nearest	puberty_GWAS
Herc2	Hollis2020_GWAS_VB_FH	puberty_GWAS
Hesx1	IHH/Kallmann;Kurtoglu2019_hypopituitarism;Fang2016_CPHD	puberty_disease;pituitary_disease
Hhip	Fang2016_CPHD	pituitary_disease
Hlf	Hollis2020_GWAS_VB_FH	puberty_GWAS
Hmg20a	Day2017_nearest	puberty_GWAS
Hnf4g	Day2017_nearest	puberty_GWAS
Hnrnpu	Fang2016_CPHD	pituitary_disease
Hpgds	Hollis2020_GWAS_VB_FH	puberty_GWAS
Hs6st1	IHH/Kallmann	puberty_disease
Htr1b	Day2017_nearest	puberty_GWAS
Htr1f	Perry2014	puberty_GWAS
Id4	Day2015_GWAS_VB	puberty_GWAS
Ier3ip1	Day2017_nearest	puberty_GWAS
Igf1r	Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Igf2bp2	Perry2014	puberty_GWAS
Igfbp3	Hollis2020_GWAS_VB_FH	puberty_GWAS
Igsf1	Day2017_nearest;Fang2016_CPHD;Day2015_GWAS_VB;Kurtoglu2019_hypopituitarism	puberty_GWAS;pituitary_disease
Igsf11	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Il20rb	Perry2014	puberty_GWAS
Impg1	Perry2014;Day2017_nearest	puberty_GWAS
Inhba	Perry2014;Day2017_nearest	puberty_GWAS
Inhbb	Hollis2020_GWAS_VB_FH	puberty_GWAS
Ino80d	Day2017_nearest	puberty_GWAS
Insm1	Day2017_nearest	puberty_GWAS
Irf4	Hollis2020_GWAS_VB_FH	puberty_GWAS
Irx3	Perry2014	puberty_GWAS
Jade2	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Jarid2	Day2017_nearest	puberty_GWAS
Jhy	Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Jmjd1c	Hollis2020_GWAS_VB_FH	puberty_GWAS
Kansl1	Hollis2020_GWAS_VB_FH	puberty_GWAS
Kat5	Day2017_nearest	puberty_GWAS
Kcna7	Hollis2020_GWAS_VB_FH	puberty_GWAS
Kcnk9	Perry2014;Day2017_nearest	puberty_GWAS
Kctd13	Perry2014	puberty_GWAS
Kctd15	Day2017_nearest	puberty_GWAS
Kdm3b	Perry2014;Day2017_nearest	puberty_GWAS
Kdm4a	Perry2014	puberty_GWAS
Kdm4b	Day2017_nearest	puberty_GWAS
Kdm4c	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Kif15	Day2017_nearest	puberty_GWAS
Kif18a	Day2017_nearest	puberty_GWAS
Kiss1	Day2017_nearest	puberty_GWAS
Kiss1r	IHH/Kallmann;IHH/Kallmann	puberty_disease
Klf12	Perry2014;Day2017_nearest	puberty_GWAS
Klf14	Day2017_nearest	puberty_GWAS
Klhdc8b	Perry2014	puberty_GWAS
Kmt2b	Day2017_nearest	puberty_GWAS
Krr1	Day2017_nearest	puberty_GWAS
Lekr1	Perry2014	puberty_GWAS
Lep	IHH/Kallmann	puberty_disease
Lepr	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH;Day2015_GWAS_VB	puberty_GWAS
Lgr4	Perry2014	puberty_GWAS
Lhx3	Kurtoglu2019_hypopituitarism;Fang2016_CPHD	pituitary_disease
Lhx4	Kurtoglu2019_hypopituitarism;Fang2016_CPHD	pituitary_disease
Lin28b	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH;Day2015_GWAS_VB	puberty_GWAS
Lrp1b	Perry2014;Day2017_nearest	puberty_GWAS
Lrrc4	Ye2015_PA_GWAS	pituitary_disease_GWAS
Magel2	Perry2014	puberty_GWAS
Magi2	Day2017_nearest	puberty_GWAS
Map2k5	Perry2014;Day2017_nearest	puberty_GWAS
Mbl2	Hollis2020_GWAS_VB_FH	puberty_GWAS
Mc3r	Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Med25	Day2017_nearest	puberty_GWAS
Meg3	Ye2015_PA_GWAS	pituitary_disease_GWAS
Memo1	Hollis2020_GWAS_VB_FH	puberty_GWAS
Men1	Ye2015_PA_GWAS;Hauser2019_PA	pituitary_disease_GWAS;pituitary_disease
Mettl15	Day2017_nearest	puberty_GWAS
Mgmt	Ye2015_PA_GWAS	pituitary_disease_GWAS
Mir129b	Day2017_nearest	puberty_GWAS
Mir193b	Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Mkln1	Hollis2020_GWAS_VB_FH	puberty_GWAS
Mkrn3	Perry2014;Day2017_nearest	puberty_GWAS
Mmp1a	Ye2015_PA_GWAS	pituitary_disease_GWAS
Mmp1b	Ye2015_PA_GWAS	pituitary_disease_GWAS
Morc3	Day2017_nearest	puberty_GWAS
Mrtfb	Perry2014;Day2015_GWAS_VB	puberty_GWAS
Msantd1	Day2017_nearest	puberty_GWAS
Msh6	Day2017_nearest	puberty_GWAS
Mtch2	Day2017_nearest	puberty_GWAS
Myt1	Day2017_nearest	puberty_GWAS
Nck1	Hollis2020_GWAS_VB_FH	puberty_GWAS
Ncoa6	Hollis2020_GWAS_VB_FH	puberty_GWAS
Ncoa7	Perry2014	puberty_GWAS
Ndufs4	Day2017_nearest	puberty_GWAS
Nebl	Ye2015_PA_GWAS	pituitary_disease_GWAS
Nedd1	Day2017_nearest	puberty_GWAS
Negr1	Perry2014;Day2017_nearest	puberty_GWAS
Nfat5	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Nfix	Day2017_nearest	puberty_GWAS
Nkain2	Day2017_nearest	puberty_GWAS
Nkx2-1	Hollis2020_GWAS_VB_FH	puberty_GWAS
Nkx2-2	Day2017_nearest	puberty_GWAS
Nlrc3	Day2017_nearest	puberty_GWAS
Nol4	Day2017_nearest	puberty_GWAS
Nol4l	Day2017_nearest	puberty_GWAS
Nop58	Day2017_nearest	puberty_GWAS
Npbwr1	Perry2014;Day2017_nearest	puberty_GWAS
Nphp3	Perry2014	puberty_GWAS
Nptxr	Perry2014;Perry2014	puberty_GWAS
Nr0b1	Day2017_nearest;Kurtoglu2019_hypopituitarism	puberty_GWAS;pituitary_disease
Nr4a2	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH;Day2015_GWAS_VB	puberty_GWAS
Nr5a2	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Nr6a1	Day2017_nearest	puberty_GWAS
Nrep	Day2017_nearest	puberty_GWAS
Nrg2	Day2017_nearest	puberty_GWAS
Nsmf	IHH/Kallmann	puberty_disease
Nt5c2	Day2017_nearest	puberty_GWAS
Ntrk2	Perry2014	puberty_GWAS
Nucks1	Perry2014;Day2017_nearest	puberty_GWAS
Nup35	Day2017_nearest;Day2017_nearest	puberty_GWAS
Olfm2	Perry2014;Day2017_nearest	puberty_GWAS
Olfm3	Perry2014;Day2017_nearest	puberty_GWAS
Olfr267	Perry2014	puberty_GWAS
Osbp2	Day2017_nearest	puberty_GWAS
Otud4	IHH/Kallmann	puberty_disease
Otx2	Kurtoglu2019_hypopituitarism;Fang2016_CPHD	pituitary_disease
Padi1	Hauser2019_PA	pituitary_disease
Padi2	Hauser2019_PA	pituitary_disease
Parg	Day2017_nearest	puberty_GWAS
Parp10	Perry2014	puberty_GWAS
Pax6	Fang2016_CPHD	pituitary_disease
Pbrm1	Day2017_nearest	puberty_GWAS
Pcdh10	Day2017_nearest	puberty_GWAS
Pcdh15	Ye2015_PA_GWAS	pituitary_disease_GWAS
Pcdh20	Day2017_nearest	puberty_GWAS
Pcdh7	Perry2014	puberty_GWAS
Pcsk1	Perry2014;Day2017_nearest;Kurtoglu2019_hypopituitarism	puberty_GWAS;pituitary_disease
Pcsk2	Perry2014;Day2017_nearest	puberty_GWAS
Pde4c	Day2017_nearest	puberty_GWAS
Pde4d	Day2017_nearest	puberty_GWAS
Pde7b	Day2017_nearest	puberty_GWAS
Pdgfa	Hollis2020_GWAS_VB_FH	puberty_GWAS
Pdilt	Day2017_nearest	puberty_GWAS
Pdzd3	Day2017_nearest	puberty_GWAS
Pex2	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Pgr	Perry2014	puberty_GWAS
Phf21a	Perry2014;Day2017_nearest	puberty_GWAS
Pin4	Day2017_nearest	puberty_GWAS
Pitx2	Kurtoglu2019_hypopituitarism	pituitary_disease
Pja1	Day2017_nearest	puberty_GWAS
Pkia	Day2017_nearest	puberty_GWAS
Plagl1	Ye2015_PA_GWAS	pituitary_disease_GWAS
Plcb2	Day2017_nearest	puberty_GWAS
Plcl1	Perry2014	puberty_GWAS
Pml	Day2017_nearest	puberty_GWAS
Pnpla6	Fang2016_CPHD	pituitary_disease
Polr3a	Fang2016_CPHD	pituitary_disease
Pou1f1	Perry2014;Kurtoglu2019_hypopituitarism;Fang2016_CPHD	puberty_GWAS;pituitary_disease
Ppm1f	Day2017_nearest	puberty_GWAS
Prdm13	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Prdm2	Day2017_nearest;Hollis2020_GWAS_VB_FH;Hauser2019_PA	puberty_GWAS;pituitary_disease
Prickle4	Hollis2020_GWAS_VB_FH	puberty_GWAS
Prkar1a	Ye2015_PA_GWAS;Hauser2019_PA	pituitary_disease_GWAS;pituitary_disease
Prkd1	Day2017_nearest	puberty_GWAS
Prok2	IHH/Kallmann	puberty_disease
Prokr2	IHH/Kallmann;Kurtoglu2019_hypopituitarism;Fang2016_CPHD	puberty_disease;pituitary_disease
Prop1	Kurtoglu2019_hypopituitarism;Fang2016_CPHD	pituitary_disease
Prpf40a	Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Psmg1	Day2017_nearest	puberty_GWAS
Ptgr1	Day2017_nearest	puberty_GWAS
Pth	Perry2014	puberty_GWAS
Pth2r	Day2017_nearest	puberty_GWAS
Ptprd	Perry2014;Day2017_nearest	puberty_GWAS
Ptprf	Perry2014;Day2017_nearest	puberty_GWAS
Ptprk	Perry2014;Day2017_nearest	puberty_GWAS
Pus1	Day2017_nearest	puberty_GWAS
Rab29	Perry2014	puberty_GWAS
Rars	Day2017_nearest	puberty_GWAS
Rassf1	Ye2015_PA_GWAS	pituitary_disease_GWAS
Rb1	Ye2015_PA_GWAS	pituitary_disease_GWAS
Rbm19	Hollis2020_GWAS_VB_FH	puberty_GWAS
Rbm28	Fang2016_CPHD	pituitary_disease
Rbm6	Perry2014	puberty_GWAS
Rbmx	Day2017_nearest	puberty_GWAS
Rbmxl1	Day2017_nearest	puberty_GWAS
Rc3h1	Day2017_nearest	puberty_GWAS
Rdh8	Perry2014	puberty_GWAS
Reep3	Day2017_nearest	puberty_GWAS
Rere	Day2017_nearest	puberty_GWAS
Retn	Perry2014	puberty_GWAS
Rexo1	Day2017_nearest	puberty_GWAS
Rgs4	Day2017_nearest	puberty_GWAS
Rian	Day2017_nearest	puberty_GWAS
Rmi1	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Rnf216	IHH/Kallmann	puberty_disease
Rnls	Day2017_nearest	puberty_GWAS
Rora	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Rorb	Day2017_nearest;Day2015_GWAS_VB	puberty_GWAS
Rpap3	Day2017_nearest	puberty_GWAS
Rprd2	Day2017_nearest	puberty_GWAS
Rps26	Day2017_nearest	puberty_GWAS
Rps6kc1	Day2017_nearest	puberty_GWAS
Rptor	Day2017_nearest	puberty_GWAS
Rrm2	Day2017_nearest	puberty_GWAS
Rtl1	Day2017_nearest	puberty_GWAS
Rufy1	Day2017_nearest	puberty_GWAS
Rxra	Day2015_GWAS_VB	puberty_GWAS
Rxrg	Perry2014;Day2017_nearest	puberty_GWAS
Sash1	Day2017_nearest	puberty_GWAS
Satb1	Day2017_nearest	puberty_GWAS
Satb2	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Scrib	Perry2014	puberty_GWAS
Sec16b	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Sec23ip	Perry2014;Day2017_nearest	puberty_GWAS
Sema3a	IHH/Kallmann	puberty_disease
Sema6d	Day2017_nearest	puberty_GWAS
Senp6	Day2017_nearest	puberty_GWAS
Sez6l2	Day2017_nearest	puberty_GWAS
Shh	Fang2016_CPHD;Kurtoglu2019_hypopituitarism	pituitary_disease
Shoc2	Day2017_nearest	puberty_GWAS
Shtn1	Day2017_nearest	puberty_GWAS
Sil1	Day2017_nearest	puberty_GWAS
Sim1	Perry2014;Day2017_nearest	puberty_GWAS
Sirt1	Hauser2019_PA;Hauser2019_PA	pituitary_disease
Sirt3	Perry2014;Hauser2019_PA;Hauser2019_PA	puberty_GWAS;pituitary_disease
Sirt4	Hauser2019_PA	pituitary_disease
Sirt7	Hauser2019_PA	pituitary_disease
Six3	Kurtoglu2019_hypopituitarism	pituitary_disease
Six6	Perry2014	puberty_GWAS
Skap1	Day2017_nearest	puberty_GWAS
Skor2	Perry2014	puberty_GWAS
Slc24a3	Day2017_nearest	puberty_GWAS
Slc25a12	Day2017_nearest	puberty_GWAS
Slc28a3	Day2017_nearest	puberty_GWAS
Slc38a10	Day2017_nearest	puberty_GWAS
Slf2	Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Slit3	Perry2014;Day2017_nearest	puberty_GWAS
Smarca2	Day2017_nearest	puberty_GWAS
Smarcad1	Perry2014;Day2017_nearest	puberty_GWAS
Smc1b	Day2017_nearest	puberty_GWAS
Smg6	Day2017_nearest	puberty_GWAS
Snap91	Day2017_nearest	puberty_GWAS
Sox10	IHH/Kallmann	puberty_disease
Sox14	Day2017_nearest	puberty_GWAS
Sox2	IHH/Kallmann;Kurtoglu2019_hypopituitarism;Fang2016_CPHD	puberty_disease;pituitary_disease
Sox2ot	Hollis2020_GWAS_VB_FH	puberty_GWAS
Sox3	Kurtoglu2019_hypopituitarism;Fang2016_CPHD	pituitary_disease
Sox5	Day2017_nearest	puberty_GWAS
Sox6	Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Spata33	Hollis2020_GWAS_VB_FH	puberty_GWAS
Spin3-ps	Day2017_nearest	puberty_GWAS
Spindoc	Day2017_nearest	puberty_GWAS
Sppl3	Day2017_nearest	puberty_GWAS
Spry4	Day2017_nearest	puberty_GWAS
Srek1ip1	Day2017_nearest	puberty_GWAS
Ssbp3	Day2017_nearest	puberty_GWAS
St18	Day2017_nearest	puberty_GWAS
Stard4	Perry2014	puberty_GWAS
Stk33	Day2017_nearest	puberty_GWAS
Stxbp4	Perry2014;Day2017_nearest	puberty_GWAS
Sun2	Day2017_nearest	puberty_GWAS
Syt13	Day2017_nearest	puberty_GWAS
Sytl4	Day2017_nearest	puberty_GWAS
Tac2	IHH/Kallmann	puberty_disease
Tacr3	Perry2014;Day2017_nearest	puberty_GWAS
Tax1bp1	Day2017_nearest	puberty_GWAS
Tbc1d16	Day2017_nearest	puberty_GWAS
Tbca	Day2017_nearest	puberty_GWAS
Tbx19	Kurtoglu2019_hypopituitarism	pituitary_disease
Tbx3	Day2017_nearest	puberty_GWAS
Tbx6	Perry2014;Day2017_nearest	puberty_GWAS
Tcf7	Perry2014	puberty_GWAS
Tcf7l1	Fang2016_CPHD	pituitary_disease
Tenm2	Day2017_nearest;Perry2014;Hollis2020_GWAS_VB_FH	puberty_GWAS
Tet2	Day2017_nearest	puberty_GWAS
Tex29	Perry2014;Day2017_nearest	puberty_GWAS
Tfap2b	Day2017_nearest	puberty_GWAS
Tfap4	Hollis2020_GWAS_VB_FH	puberty_GWAS
Tgif1	Fang2016_CPHD	pituitary_disease
Thrb	Perry2014;Day2017_nearest	puberty_GWAS
Thrsp	Perry2014	puberty_GWAS
Thsd7b	Day2017_nearest	puberty_GWAS
Tle1	Day2017_nearest	puberty_GWAS
Tle4	Day2017_nearest	puberty_GWAS
Tlr4	Day2017_nearest	puberty_GWAS
Tmem102	Hollis2020_GWAS_VB_FH	puberty_GWAS
Tmem108	Perry2014	puberty_GWAS
Tmem164	Day2017_nearest	puberty_GWAS
Tmem18	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Tmem245	Perry2014;Day2017_nearest	puberty_GWAS
Tmem38b	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH;Day2015_GWAS_VB	puberty_GWAS
Tmtc2	Day2017_nearest	puberty_GWAS
Tnni3k	Day2017_nearest;Perry2014;Hollis2020_GWAS_VB_FH	puberty_GWAS
Tnrc6a	Day2017_nearest	puberty_GWAS
Tpm3	Day2017_nearest;Day2017_nearest	puberty_GWAS
Tra2b	Perry2014;Day2017_nearest	puberty_GWAS
Trim41	Day2017_nearest	puberty_GWAS
Trim66	Perry2014	puberty_GWAS
Trmt11	Perry2014	puberty_GWAS
Trpc6	Perry2014;Day2017_nearest	puberty_GWAS
